"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Angola","Female 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","219423",""
"Angola","Female 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","191448",""
"Angola","Female 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","170018",""
"Angola","Female 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","149895",""
"Angola","Female 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","136290",""
"Angola","Male 0-14 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","3727114",""
"Angola","Male 0-14 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","3256433",""
"Angola","Male 0-14 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","2910338",""
"Angola","Male 0-14 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","2482449",""
"Angola","Male 0-14 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","2165365",""
"Angola","Male 0-17 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","4273786",""
"Angola","Male 0-17 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","3718837",""
"Angola","Male 0-17 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","3310814",""
"Angola","Male 0-17 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","2817432",""
"Angola","Male 0-17 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","2463022",""
"Angola","Male 15-24 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","1603414",""
"Angola","Male 15-24 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","1355516",""
"Angola","Male 15-24 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","1167307",""
"Angola","Male 15-24 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","993442",""
"Angola","Male 15-24 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","881819",""
"Angola","Male 15-64 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","4036037",""
"Angola","Male 15-64 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","3457166",""
"Angola","Male 15-64 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","3025191",""
"Angola","Male 15-64 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","2588304",""
"Angola","Male 15-64 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","2293560",""
"Angola","Male 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","170419",""
"Angola","Male 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","150129",""
"Angola","Male 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","133501",""
"Angola","Male 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","117292",""
"Angola","Male 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","106199",""
"Argentina","Female 0-14 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","5033094",""
"Argentina","Female 0-14 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","5080245",""
"Argentina","Female 0-14 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","5006050",""
"Argentina","Female 0-14 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","4933453",""
"Argentina","Female 0-14 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","4628018",""
"Argentina","Female 0-17 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","6036953",""
"Argentina","Female 0-17 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","6042942",""
"Argentina","Female 0-17 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","6014045",""
"Argentina","Female 0-17 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","5794299",""
"Argentina","Female 0-17 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","5370831",""
"Argentina","Female 15-24 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","3261196",""
"Argentina","Female 15-24 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","3250185",""
"Argentina","Female 15-24 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","3038364",""
"Argentina","Female 15-24 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","2611835",""
"Argentina","Female 15-24 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","2376606",""
"Argentina","Female 15-64 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","12403044",""
"Argentina","Female 15-64 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","11593721",""
"Argentina","Female 15-64 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","10821694",""
"Argentina","Female 15-64 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","9958290",""
"Argentina","Female 15-64 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","9283742",""
"Argentina","Female 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","2362497",""
"Argentina","Female 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","2162417",""
"Argentina","Female 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","1921072",""
"Argentina","Female 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","1692452",""
"Argentina","Female 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","1480175",""
"Argentina","Male 0-14 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","5203748",""
"Argentina","Male 0-14 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","5250979",""
"Argentina","Male 0-14 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","5165515",""
"Argentina","Male 0-14 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","5080206",""
"Argentina","Male 0-14 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","4766564",""
"Argentina","Male 0-17 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","6239680",""
"Argentina","Male 0-17 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","6237880",""
"Argentina","Male 0-17 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","6195883",""
"Argentina","Male 0-17 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","5958823",""
"Argentina","Male 0-17 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","5527126",""
"Argentina","Male 15-24 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","3342179",""
"Argentina","Male 15-24 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","3308522",""
"Argentina","Male 15-24 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","3093899",""
"Argentina","Male 15-24 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","2658144",""
"Argentina","Male 15-24 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","2411892",""
"Argentina","Male 15-64 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","12156724",""
"Argentina","Male 15-64 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","11324622",""
"Argentina","Male 15-64 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","10562846",""
"Argentina","Male 15-64 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","9696938",""
"Argentina","Male 15-64 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","9049036",""
