Movie Title,Time,Genre,Directors,Writers,Actors,Rating,Number of Ratings
Star Trek,127,Action;Adventure;Sci-Fi,J.J. Abrams,Roberto Orci;Alex Kurtzman,Chris Pine;Zachary Quinto;Simon Pegg,8.0,"283,787"
Beauty and the Beast,84,Animation;Family;Fantasy,Gary Trousdale;Kirk Wise,Linda Woolverton;Roger Allers,Paige O'Hara;Robby Benson;Richard White,8.0,"158,462"
Rosemary's Baby,136,Drama;Horror,Roman Polanski,Ira Levin;Roman Polanski,Mia Farrow;John Cassavetes;Ruth Gordon,8.0,"89,559"
La Haine,98,Drama,Mathieu Kassovitz,Mathieu Kassovitz,Vincent Cassel;Hubert Kound;Sad Taghmaoui,8.1,"53,192"
Harvey,104,Comedy;Drama,Henry Koster,Mary Chase;Mary Chase,James Stewart;Josephine Hull;Peggy Dow,8.1,"32,973"
Taare Zameen Par,165,Drama,Aamir Khan,Amole Gupte;Amole Gupte,Darsheel Safary;Aamir Khan;Tanay Chheda,8.4,"26,390"
All Quiet on the Western Front,136,Drama;War,Lewis Milestone,Erich Maria Remarque;Maxwell Anderson,Lew Ayres;Louis Wolheim;John Wray,8.1,"33,636"
Nausica of the Valley of the Wind,117,Animation;Action;Adventure,Hayao Miyazaki,Hayao Miyazaki;Hayao Miyazaki,Sumi Shimamoto;Mahito Tsujimura;Hisako Kyda,8.1,"44,389"
Incendies,139,Drama;Mystery;War,Denis Villeneuve,Valrie Beaugrand-Champagne;Wajdi Mouawad,Lubna Azabal;Mlissa Dsormeaux-Poulin;Maxim Gaudette,8.1,"27,334"
Rain Man,133,Drama,Barry Levinson,Barry Morrow;Ronald Bass,Dustin Hoffman;Tom Cruise;Valeria Golino,8.0,"226,311"
Shutter Island,138,Mystery;Thriller,Martin Scorsese,Laeta Kalogridis;Dennis Lehane,Leonardo DiCaprio;Emily Mortimer;Mark Ruffalo,8.0,"357,673"
The Wrestler,109,Drama;Romance;Sport,Darren Aronofsky,Robert D. Siegel,Mickey Rourke;Marisa Tomei;Evan Rachel Wood,8.0,"183,089"
Mystic River,138,Crime;Drama;Mystery,Clint Eastwood,Brian Helgeland;Dennis Lehane,Sean Penn;Tim Robbins;Kevin Bacon,8.0,"219,837"
3 Idiots,170,Comedy;Drama;Romance,Rajkumar Hirani,Rajkumar Hirani;Abhijit Joshi,Aamir Khan;Madhavan;Mona Singh,8.3,"59,322"
Nosferatu,81,Horror,F.W. Murnau,Henrik Galeen,Max Schreck;Greta Schrder;Ruth Landshoff,8.0,"46,669"
Manhattan,96,Comedy;Drama;Romance,Woody Allen,Woody Allen;Marshall Brickman,Woody Allen;Diane Keaton;Mariel Hemingway,8.0,"66,830"
"Spring, Summer, Fall, Winter... and Spring",103,Drama,Ki-duk Kim,Ki-duk Kim,Ki-duk Kim;Yeong-su Oh;Jong-ho Kim,8.1,"35,845"
Jurassic Park,127,Adventure;Family;Sci-Fi,Steven Spielberg,Michael Crichton;Michael Crichton,Sam Neill;Laura Dern;Jeff Goldblum,8.0,"281,364"
Papillon,151,Biography;Crime;Drama,Franklin J. Schaffner,Dalton Trumbo;Lorenzo Semple Jr.,Steve McQueen;Dustin Hoffman;Victor Jory,8.0,"51,493"
Big Fish,125,Adventure;Drama;Fantasy,Tim Burton,Daniel Wallace;John August,Ewan McGregor;Albert Finney;Billy Crudup,8.0,"246,996"
Arsenic and Old Lace,118,Comedy;Crime;Romance,Frank Capra,Julius J. Epstein;Philip G. Epstein,Cary Grant;Priscilla Lane;Raymond Massey,8.0,"40,669"
The Untouchables,119,Crime;Drama;History,Brian De Palma,Oscar Fraley;Eliot Ness,Kevin Costner;Sean Connery;Robert De Niro,8.0,"142,278"
Castle in the Sky,124,Animation;Action;Adventure,Hayao Miyazaki,Hayao Miyazaki,Barbara Goodson;James Van Der Beek;Lara Cody,8.0,"46,021"
The Help,146,Drama,Tate Taylor,Tate Taylor;Kathryn Stockett,Emma Stone;Viola Davis;Octavia Spencer,8.0,"139,978"
La Dolce Vita,174,Comedy;Drama,Federico Fellini,Federico Fellini;Ennio Flaiano,Marcello Mastroianni;Anita Ekberg;Anouk Aime,8.1,"28,906"
